Phase,Indicator,Group,State,Subgroup,Time Period,Time Period Label,Value,Low CI,High CI,Confidence Interval,Quartile range
1,Symptoms of Depressive Disorder,By State,Missouri,Missouri,4,May 21 - May 26,24.3,19.6,29.5,19.6 - 29.5,23.0-25.8
1,Symptoms of Depressive Disorder,By State,Montana,Montana,4,May 21 - May 26,22.2,18.4,26.5,18.4 - 26.5,21.0-22.9
1,Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,4,May 21 - May 26,17.2,13.9,20.8,13.9 - 20.8,17.2-20.9
1,Symptoms of Depressive Disorder,By State,Nevada,Nevada,4,May 21 - May 26,27.1,24.2,30.2,24.2 - 30.2,25.9-31.1
1,Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,4,May 21 - May 26,22.2,18.4,26.3,18.4 - 26.3,21.0-22.9
1,Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,4,May 21 - May 26,22.9,19.4,26.6,19.4 - 26.6,21.0-22.9
1,Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,4,May 21 - May 26,28.7,24.2,33.5,24.2 - 33.5,25.9-31.1
1,Symptoms of Depressive Disorder,By State,New York,New York,4,May 21 - May 26,23.7,20.0,27.8,20.0 - 27.8,23.0-25.8
1,Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,4,May 21 - May 26,22.1,18.5,26.1,18.5 - 26.1,21.0-22.9
1,Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,4,May 21 - May 26,19.8,14.8,25.7,14.8 - 25.7,17.2-20.9
1,Symptoms of Depressive Disorder,By State,Ohio,Ohio,4,May 21 - May 26,27.4,23.5,31.6,23.5 - 31.6,25.9-31.1
1,Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,4,May 21 - May 26,27.5,24.3,30.9,24.3 - 30.9,25.9-31.1
1,Symptoms of Depressive Disorder,By State,Oregon,Oregon,4,May 21 - May 26,24.2,21.0,27.6,21.0 - 27.6,23.0-25.8
1,Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,4,May 21 - May 26,25.9,22.4,29.6,22.4 - 29.6,25.9-31.1
1,Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,4,May 21 - May 26,21.4,17.1,26.4,17.1 - 26.4,21.0-22.9
1,Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,4,May 21 - May 26,21.7,17.3,26.6,17.3 - 26.6,21.0-22.9
1,Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,4,May 21 - May 26,25.8,21.0,31.1,21.0 - 31.1,23.0-25.8
1,Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,4,May 21 - May 26,22.5,19.1,26.1,19.1 - 26.1,21.0-22.9
1,Symptoms of Depressive Disorder,By State,Texas,Texas,4,May 21 - May 26,28.8,25.1,32.8,25.1 - 32.8,25.9-31.1
1,Symptoms of Depressive Disorder,By State,Utah,Utah,4,May 21 - May 26,24.9,20.6,29.5,20.6 - 29.5,23.0-25.8
1,Symptoms of Depressive Disorder,By State,Vermont,Vermont,4,May 21 - May 26,19.4,14.8,24.7,14.8 - 24.7,17.2-20.9
1,Symptoms of Depressive Disorder,By State,Virginia,Virginia,4,May 21 - May 26,22.3,19.4,25.5,19.4 - 25.5,21.0-22.9
1,Symptoms of Depressive Disorder,By State,Washington,Washington,4,May 21 - May 26,22.2,19.2,25.5,19.2 - 25.5,21.0-22.9
1,Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,4,May 21 - May 26,22.0,17.4,27.2,17.4 - 27.2,21.0-22.9
1,Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,4,May 21 - May 26,20.8,16.5,25.6,16.5 - 25.6,17.2-20.9
1,Symptoms of Depressive Disorder,By State,Wyoming,Wyoming,4,May 21 - May 26,18.8,14.5,23.7,14.5 - 23.7,17.2-20.9
1,Symptoms of Anxiety Disorder,National Estimate,United States,United States,4,May 21 - May 26,29.4,28.8,30.1,28.8 - 30.1,
1,Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,4,May 21 - May 26,39.1,36.8,41.3,36.8 - 41.3,
1,Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,4,May 21 - May 26,35.2,33.7,36.8,33.7 - 36.8,
1,Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,4,May 21 - May 26,31.4,29.8,33.1,29.8 - 33.1,
1,Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,4,May 21 - May 26,29.3,27.8,31.0,27.8 - 31.0,
1,Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,4,May 21 - May 26,22.2,20.7,23.8,20.7 - 23.8,
1,Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,4,May 21 - May 26,15.0,13.1,17.0,13.1 - 17.0,
1,Symptoms of Anxiety Disorder,By Age,United States,80 years and above,4,May 21 - May 26,17.1,10.9,25.1,10.9 - 25.1,
1,Symptoms of Anxiety Disorder,By Gender,United States,Male,4,May 21 - May 26,25.4,24.4,26.3,24.4 - 26.3,
1,Symptoms of Anxiety Disorder,By Gender,United States,Female,4,May 21 - May 26,33.2,32.3,34.2,32.3 - 34.2,
1,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,4,May 21 - May 26,36.3,33.5,39.2,33.5 - 39.2,
1,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",4,May 21 - May 26,27.6,26.7,28.5,26.7 - 28.5,
1,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",4,May 21 - May 26,30.2,27.8,32.7,27.8 - 32.7,
1,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",4,May 21 - May 26,22.2,19.6,25.0,19.6 - 25.0,
1,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",4,May 21 - May 26,38.6,34.5,42.9,34.5 - 42.9,
1,Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,4,May 21 - May 26,40.6,36.8,44.5,36.8 - 44.5,
1,Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,4,May 21 - May 26,29.5,27.9,31.1,27.9 - 31.1,
1,Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,4,May 21 - May 26,32.4,31.3,33.6,31.3 - 33.6,
1,Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,4,May 21 - May 26,23.7,22.9,24.6,22.9 - 24.6,
1,Symptoms of Anxiety Disorder,By State,Alabama,Alabama,4,May 21 - May 26,25.2,20.7,30.1,20.7 - 30.1,24.8-28.6
1,Symptoms of Anxiety Disorder,By State,Alaska,Alaska,4,May 21 - May 26,31.6,27.0,36.5,27.0 - 36.5,30.7-36.0
1,Symptoms of Anxiety Disorder,By State,Arizona,Arizona,4,May 21 - May 26,29.3,25.6,33.3,25.6 - 33.3,28.7-30.6
1,Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,4,May 21 - May 26,28.6,23.1,34.5,23.1 - 34.5,24.8-28.6
1,Symptoms of Anxiety Disorder,By State,California,California,4,May 21 - May 26,30.4,27.4,33.6,27.4 - 33.6,28.7-30.6
1,Symptoms of Anxiety Disorder,By State,Colorado,Colorado,4,May 21 - May 26,28.8,25.2,32.6,25.2 - 32.6,28.7-30.6
1,Symptoms of Anxiety Disorder,By State,Connecticut,Connecticut,4,May 21 - May 26,24.7,20.9,28.8,20.9 - 28.8,19.6-24.7
1,Symptoms of Anxiety Disorder,By State,Delaware,Delaware,4,May 21 - May 26,24.2,19.9,29.0,19.9 - 29.0,19.6-24.7
1,Symptoms of Anxiety Disorder,By State,District of Columbia,District of Columbia,4,May 21 - May 26,29.9,25.0,35.1,25.0 - 35.1,28.7-30.6
1,Symptoms of Anxiety Disorder,By State,Florida,Florida,4,May 21 - May 26,34.1,31.2,37.2,31.2 - 37.2,30.7-36.0
1,Symptoms of Anxiety Disorder,By State,Georgia,Georgia,4,May 21 - May 26,32.6,28.6,36.8,28.6 - 36.8,30.7-36.0
1,Symptoms of Anxiety Disorder,By State,Hawaii,Hawaii,4,May 21 - May 26,19.6,16.1,23.4,16.1 - 23.4,19.6-24.7
1,Symptoms of Anxiety Disorder,By State,Idaho,Idaho,4,May 21 - May 26,22.1,17.3,27.5,17.3 - 27.5,19.6-24.7
1,Symptoms of Anxiety Disorder,By State,Illinois,Illinois,4,May 21 - May 26,30.3,26.2,34.7,26.2 - 34.7,28.7-30.6
1,Symptoms of Anxiety Disorder,By State,Indiana,Indiana,4,May 21 - May 26,30.5,27.2,34.0,27.2 - 34.0,28.7-30.6
1,Symptoms of Anxiety Disorder,By State,Iowa,Iowa,4,May 21 - May 26,20.6,17.1,24.6,17.1 - 24.6,19.6-24.7
1,Symptoms of Anxiety Disorder,By State,Kansas,Kansas,4,May 21 - May 26,30.1,26.2,34.3,26.2 - 34.3,28.7-30.6
1,Symptoms of Anxiety Disorder,By State,Kentucky,Kentucky,4,May 21 - May 26,30.8,25.8,36.2,25.8 - 36.2,30.7-36.0
1,Symptoms of Anxiety Disorder,By State,Louisiana,Louisiana,4,May 21 - May 26,36.0,30.8,41.4,30.8 - 41.4,30.7-36.0
1,Symptoms of Anxiety Disorder,By State,Maine,Maine,4,May 21 - May 26,24.5,19.8,29.7,19.8 - 29.7,19.6-24.7
1,Symptoms of Anxiety Disorder,By State,Maryland,Maryland,4,May 21 - May 26,25.8,21.8,30.0,21.8 - 30.0,24.8-28.6
1,Symptoms of Anxiety Disorder,By State,Massachusetts,Massachusetts,4,May 21 - May 26,25.5,22.0,29.2,22.0 - 29.2,24.8-28.6
1,Symptoms of Anxiety Disorder,By State,Michigan,Michigan,4,May 21 - May 26,27.5,23.7,31.5,23.7 - 31.5,24.8-28.6
1,Symptoms of Anxiety Disorder,By State,Minnesota,Minnesota,4,May 21 - May 26,22.8,19.4,26.6,19.4 - 26.6,19.6-24.7
1,Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,4,May 21 - May 26,31.9,27.5,36.5,27.5 - 36.5,30.7-36.0
1,Symptoms of Anxiety Disorder,By State,Missouri,Missouri,4,May 21 - May 26,29.0,24.3,34.1,24.3 - 34.1,28.7-30.6
1,Symptoms of Anxiety Disorder,By State,Montana,Montana,4,May 21 - May 26,24.3,20.0,29.0,20.0 - 29.0,19.6-24.7
1,Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,4,May 21 - May 26,22.6,19.6,25.7,19.6 - 25.7,19.6-24.7
1,Symptoms of Anxiety Disorder,By State,Nevada,Nevada,4,May 21 - May 26,35.6,31.6,39.8,31.6 - 39.8,30.7-36.0
1,Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,4,May 21 - May 26,24.6,21.0,28.4,21.0 - 28.4,19.6-24.7
1,Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,4,May 21 - May 26,26.2,22.3,30.5,22.3 - 30.5,24.8-28.6
1,Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,4,May 21 - May 26,35.4,30.5,40.6,30.5 - 40.6,30.7-36.0
1,Symptoms of Anxiety Disorder,By State,New York,New York,4,May 21 - May 26,30.6,26.8,34.5,26.8 - 34.5,28.7-30.6
1,Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,4,May 21 - May 26,27.5,24.1,31.2,24.1 - 31.2,24.8-28.6
1,Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,4,May 21 - May 26,22.1,17.0,27.8,17.0 - 27.8,19.6-24.7
1,Symptoms of Anxiety Disorder,By State,Ohio,Ohio,4,May 21 - May 26,29.8,25.3,34.6,25.3 - 34.6,28.7-30.6
1,Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,4,May 21 - May 26,27.3,23.2,31.6,23.2 - 31.6,24.8-28.6
1,Symptoms of Anxiety Disorder,By State,Oregon,Oregon,4,May 21 - May 26,32.1,28.3,36.2,28.3 - 36.2,30.7-36.0
1,Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,4,May 21 - May 26,28.0,24.4,31.8,24.4 - 31.8,24.8-28.6
1,Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,4,May 21 - May 26,30.6,25.8,35.7,25.8 - 35.7,28.7-30.6
1,Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,4,May 21 - May 26,27.0,22.7,31.6,22.7 - 31.6,24.8-28.6
1,Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,4,May 21 - May 26,30.4,24.6,36.6,24.6 - 36.6,28.7-30.6
1,Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,4,May 21 - May 26,29.6,25.5,33.9,25.5 - 33.9,28.7-30.6
1,Symptoms of Anxiety Disorder,By State,Texas,Texas,4,May 21 - May 26,32.6,29.0,36.3,29.0 - 36.3,30.7-36.0
1,Symptoms of Anxiety Disorder,By State,Utah,Utah,4,May 21 - May 26,25.5,21.9,29.4,21.9 - 29.4,24.8-28.6
1,Symptoms of Anxiety Disorder,By State,Vermont,Vermont,4,May 21 - May 26,23.3,18.5,28.7,18.5 - 28.7,19.6-24.7
1,Symptoms of Anxiety Disorder,By State,Virginia,Virginia,4,May 21 - May 26,28.7,25.1,32.5,25.1 - 32.5,28.7-30.6
1,Symptoms of Anxiety Disorder,By State,Washington,Washington,4,May 21 - May 26,26.8,23.8,29.9,23.8 - 29.9,24.8-28.6
1,Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,4,May 21 - May 26,34.5,28.8,40.5,28.8 - 40.5,30.7-36.0
1,Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,4,May 21 - May 26,24.7,21.0,28.6,21.0 - 28.6,19.6-24.7
1,Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,4,May 21 - May 26,24.0,19.7,28.8,19.7 - 28.8,19.6-24.7
1,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,4,May 21 - May 26,34.3,33.6,35.1,33.6 - 35.1,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,18 - 29 years,4,May 21 - May 26,46.6,44.0,49.2,44.0 - 49.2,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,30 - 39 years,4,May 21 - May 26,39.5,37.9,41.1,37.9 - 41.1,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,40 - 49 years,4,May 21 - May 26,35.7,34.2,37.4,34.2 - 37.4,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,50 - 59 years,4,May 21 - May 26,33.7,32.0,35.4,32.0 - 35.4,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,60 - 69 years,4,May 21 - May 26,27.4,25.7,29.1,25.7 - 29.1,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,70 - 79 years,4,May 21 - May 26,18.8,16.5,21.2,16.5 - 21.2,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,80 years and above,4,May 21 - May 26,20.1,14.0,27.5,14.0 - 27.5,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Gender,United States,Male,4,May 21 - May 26,30.3,29.1,31.5,29.1 - 31.5,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Gender,United States,Female,4,May 21 - May 26,38.1,37.0,39.2,37.0 - 39.2,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,4,May 21 - May 26,41.5,38.6,44.5,38.6 - 44.5,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",4,May 21 - May 26,32.3,31.4,33.3,31.4 - 33.3,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",4,May 21 - May 26,35.6,32.9,38.3,32.9 - 38.3,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",4,May 21 - May 26,27.6,24.5,30.8,24.5 - 30.8,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",4,May 21 - May 26,43.4,39.5,47.4,39.5 - 47.4,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,4,May 21 - May 26,47.7,43.4,52.1,43.4 - 52.1,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,4,May 21 - May 26,35.3,33.6,37.1,33.6 - 37.1,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,4,May 21 - May 26,37.6,36.4,38.8,36.4 - 38.8,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,4,May 21 - May 26,27.0,26.1,27.9,26.1 - 27.9,
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,4,May 21 - May 26,28.8,23.9,34.0,23.9 - 34.0,24.8-29.5
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,4,May 21 - May 26,36.4,31.5,41.4,31.5 - 41.4,35.6-41.4
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,Arizona,4,May 21 - May 26,35.5,31.3,39.8,31.3 - 39.8,33.2-35.5
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,Arkansas,4,May 21 - May 26,33.8,28.4,39.6,28.4 - 39.6,33.2-35.5
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,California,4,May 21 - May 26,36.2,32.8,39.7,32.8 - 39.7,35.6-41.4
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,Colorado,4,May 21 - May 26,33.5,29.8,37.4,29.8 - 37.4,33.2-35.5
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,Connecticut,4,May 21 - May 26,28.0,23.5,32.7,23.5 - 32.7,24.8-29.5
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,Delaware,4,May 21 - May 26,31.1,26.6,35.9,26.6 - 35.9,29.6-33.1
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,District of Columbia,4,May 21 - May 26,34.2,28.5,40.2,28.5 - 40.2,33.2-35.5
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,Florida,4,May 21 - May 26,39.1,36.3,41.9,36.3 - 41.9,35.6-41.4
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,4,May 21 - May 26,37.5,33.3,41.8,33.3 - 41.8,35.6-41.4
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,4,May 21 - May 26,26.6,21.9,31.7,21.9 - 31.7,24.8-29.5
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,Idaho,4,May 21 - May 26,24.8,20.0,30.2,20.0 - 30.2,24.8-29.5
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,Illinois,4,May 21 - May 26,35.6,30.8,40.5,30.8 - 40.5,35.6-41.4
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,Indiana,4,May 21 - May 26,35.2,31.8,38.7,31.8 - 38.7,33.2-35.5
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,Iowa,4,May 21 - May 26,25.9,21.7,30.4,21.7 - 30.4,24.8-29.5
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,Kansas,4,May 21 - May 26,33.2,29.2,37.4,29.2 - 37.4,33.2-35.5
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,Kentucky,4,May 21 - May 26,34.7,29.2,40.4,29.2 - 40.4,33.2-35.5
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,Louisiana,4,May 21 - May 26,41.4,36.0,47.1,36.0 - 47.1,35.6-41.4
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,Maine,4,May 21 - May 26,27.8,23.5,32.4,23.5 - 32.4,24.8-29.5
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,Maryland,4,May 21 - May 26,31.6,27.6,35.9,27.6 - 35.9,29.6-33.1
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,Massachusetts,4,May 21 - May 26,29.5,25.8,33.4,25.8 - 33.4,24.8-29.5
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,Michigan,4,May 21 - May 26,32.8,28.7,37.0,28.7 - 37.0,29.6-33.1
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,Minnesota,4,May 21 - May 26,26.1,22.4,30.0,22.4 - 30.0,24.8-29.5
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,4,May 21 - May 26,37.8,33.1,42.7,33.1 - 42.7,35.6-41.4
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,4,May 21 - May 26,32.9,28.2,37.9,28.2 - 37.9,29.6-33.1
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,4,May 21 - May 26,30.7,25.8,36.0,25.8 - 36.0,29.6-33.1
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,Nebraska,4,May 21 - May 26,28.1,24.7,31.6,24.7 - 31.6,24.8-29.5
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,Nevada,4,May 21 - May 26,40.7,36.6,45.0,36.6 - 45.0,35.6-41.4
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,New Hampshire,4,May 21 - May 26,31.1,26.9,35.6,26.9 - 35.6,29.6-33.1
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,New Jersey,4,May 21 - May 26,31.1,27.5,35.0,27.5 - 35.0,29.6-33.1
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,New Mexico,4,May 21 - May 26,39.1,34.4,43.9,34.4 - 43.9,35.6-41.4
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,4,May 21 - May 26,34.4,30.5,38.5,30.5 - 38.5,33.2-35.5
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,North Carolina,4,May 21 - May 26,32.3,28.5,36.2,28.5 - 36.2,29.6-33.1
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,North Dakota,4,May 21 - May 26,28.1,22.6,34.2,22.6 - 34.2,24.8-29.5
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,Ohio,4,May 21 - May 26,34.6,30.9,38.5,30.9 - 38.5,33.2-35.5
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,Oklahoma,4,May 21 - May 26,32.8,28.9,36.9,28.9 - 36.9,29.6-33.1
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,Oregon,4,May 21 - May 26,35.3,31.4,39.4,31.4 - 39.4,33.2-35.5
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,Pennsylvania,4,May 21 - May 26,33.9,30.0,38.0,30.0 - 38.0,33.2-35.5
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,Rhode Island,4,May 21 - May 26,33.8,28.8,39.1,28.8 - 39.1,33.2-35.5
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,South Carolina,4,May 21 - May 26,32.2,27.3,37.3,27.3 - 37.3,29.6-33.1
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,South Dakota,4,May 21 - May 26,36.3,30.7,42.2,30.7 - 42.2,35.6-41.4
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,Tennessee,4,May 21 - May 26,33.1,28.9,37.5,28.9 - 37.5,29.6-33.1
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,Texas,4,May 21 - May 26,37.7,33.8,41.7,33.8 - 41.7,35.6-41.4
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,Utah,4,May 21 - May 26,31.9,27.5,36.5,27.5 - 36.5,29.6-33.1
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,Vermont,4,May 21 - May 26,28.8,23.3,34.8,23.3 - 34.8,24.8-29.5
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,Virginia,4,May 21 - May 26,33.1,29.8,36.5,29.8 - 36.5,29.6-33.1
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,Washington,4,May 21 - May 26,31.8,28.7,35.0,28.7 - 35.0,29.6-33.1
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,West Virginia,4,May 21 - May 26,37.9,32.3,43.8,32.3 - 43.8,35.6-41.4
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,Wisconsin,4,May 21 - May 26,28.9,24.6,33.5,24.6 - 33.5,24.8-29.5
1,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,Wyoming,4,May 21 - May 26,28.3,23.6,33.4,23.6 - 33.4,24.8-29.5
1,Symptoms of Depressive Disorder,National Estimate,United States,United States,5,May 28 - June 2,25.3,24.7,25.8,24.7 - 25.8,
1,Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,5,May 28 - June 2,36.8,34.8,38.8,34.8 - 38.8,
1,Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,5,May 28 - June 2,27.9,26.6,29.2,26.6 - 29.2,
1,Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,5,May 28 - June 2,25.7,24.2,27.3,24.2 - 27.3,
1,Symptoms of Depressive Disorder,By Age,United States,50 - 59 years,5,May 28 - June 2,25.1,23.4,26.8,23.4 - 26.8,
1,Symptoms of Depressive Disorder,By Age,United States,60 - 69 years,5,May 28 - June 2,18.0,16.7,19.3,16.7 - 19.3,
1,Symptoms of Depressive Disorder,By Age,United States,70 - 79 years,5,May 28 - June 2,15.5,13.5,17.6,13.5 - 17.6,
1,Symptoms of Depressive Disorder,By Age,United States,80 years and above,5,May 28 - June 2,14.9,10.7,20.0,10.7 - 20.0,
1,Symptoms of Depressive Disorder,By Gender,United States,Male,5,May 28 - June 2,23.0,22.0,23.9,22.0 - 23.9,
1,Symptoms of Depressive Disorder,By Gender,United States,Female,5,May 28 - June 2,27.4,26.6,28.2,26.6 - 28.2,
1,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,5,May 28 - June 2,26.3,24.6,28.1,24.6 - 28.1,
1,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",5,May 28 - June 2,23.7,22.9,24.4,22.9 - 24.4,
1,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",5,May 28 - June 2,29.9,27.7,32.2,27.7 - 32.2,
1,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",5,May 28 - June 2,22.0,19.5,24.7,19.5 - 24.7,
1,Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",5,May 28 - June 2,37.6,33.3,42.0,33.3 - 42.0,
1,Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,5,May 28 - June 2,31.9,28.6,35.4,28.6 - 35.4,
1,Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,5,May 28 - June 2,27.8,26.3,29.5,26.3 - 29.5,
1,Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,5,May 28 - June 2,27.8,26.7,29.0,26.7 - 29.0,
